Id,Designator,Package,Quantity,Designation,Supplier and ref
1,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,100k,
2,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,249k,
3,C2,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,1,68uF,(Optional) Kemet T case
4,SW1,SW_SP3T_PCM13,1,SW_SP3T,Nidec Copal CUS-13TB
5,D1,D4,LED_Avago_PLCC4_3.2x2.8mm_CW_datasheet,2,LED_Dual_ACAC,Avago HSMF-C155
6,U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny412-SS,Microchip ATTINY212-SSNR
7,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,100nF,
8,D3,Osram_SMD-DIL2_4.5x4.0mm,1,BPW34-SMD,Osram BPW34S
9,R2,R3,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,3,220,
10,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,1k,
11,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,480k,
